CVE_LOC,Población de 15 años o más analfabeta,Población de 6 a 14 años que no asiste a la escuela,Población de 15 años y más con educación básica incompleta,Población sin derechohabiencia a servicios de salud,Viviendas con piso de tierra,Viviendas que no disponen de excusado o sanitario,Viviendas que no disponen de agua entubada de la red pública,Viviendas que no disponen de drenaje,Viviendas que no disponen de energía eléctrica,Viviendas que no disponen de lavadora,Viviendas que no disponen de refrigerador,IRS,GRADO_REZAGO,LUGAR_QUE_OCUPA_EN_EL_CONTEXTO_NACIONAL
090130237,"0,0","14,3","20,0","21,4","0,0","0,0","0,0","0,0","0,0","14,3","14,3","-1,12054",Muy bajo,103.781
090130238,"3,8","0,0","26,9","27,5","11,1","0,0","0,0","11,1","0,0","44,4","55,6","-0,57292",Bajo,71.669
090130239,"2,5","2,3","29,2","35,3","5,3","1,8","75,4","3,5","0,0","45,6","42,1","-0,43839",Bajo,62.952
090130242,"0,0","0,0","38,5","12,8","20,0","0,0","6,7","0,0","0,0","86,7","46,7","-0,32799",Bajo,56.626
090130243,"6,1","8,3","35,6","43,2","7,5","3,8","15,1","3,8","3,8","54,7","41,5","-0,42294",Bajo,62.046
090130244,"0,0","0,0","15,0","35,5","0,0","16,7","16,7","8,3","0,0","33,3","16,7","-0,90038",Muy bajo,93.785
090130246,"22,7","50,0","77,3","63,0","33,3","0,0","50,0","33,3","0,0","50,0","83,3","0,88517",Alto,17.522
090130249,"8,1","12,5","39,2","44,2","44,8","0,0","89,7","27,6","6,9","79,3","41,4","0,41282",Medio,27.952
090130251,"5,7","43,8","31,4","37,0","25,0","0,0","100,0","8,3","8,3","66,7","50,0","0,28569",Medio,31.581
090130252,"2,8","3,8","24,1","34,1","0,0","1,9","87,0","0,0","0,0","40,7","16,7","-0,64691",Bajo,76.712
090130253,"5,8","0,0","30,8","39,4","5,3","0,0","68,4","0,0","0,0","47,4","73,7","-0,26656",Bajo,53.369
090130257,"3,1","12,2","34,9","59,8","8,0","0,0","77,3","1,1","4,5","37,5","28,4","-0,42543",Bajo,62.193
090130258,"2,3","4,5","31,8","31,0","0,0","2,6","84,2","0,0","0,0","34,2","21,1","-0,61040",Bajo,74.165
090130261,"3,2","0,0","32,3","13,9","30,0","0,0","100,0","10,0","0,0","40,0","10,0","-0,35375",Bajo,58.063
090130262,"0,0","66,7","37,8","13,6","11,1","0,0","100,0","0,0","0,0","50,0","11,1","-0,12412",Medio,46.547
090130263,"11,3","20,0","58,5","9,7","23,8","0,0","95,2","9,5","0,0","71,4","23,8","0,21132",Medio,33.907
090130264,"0,0","12,5","28,6","68,0","0,0","0,0","28,6","0,0","0,0","14,3","28,6","-0,88805",Muy bajo,93.015
090130265,"2,1","0,0","28,2","62,8","0,0","0,0","52,9","2,0","0,0","45,1","19,6","-0,72414",Bajo,82.043
090130266,"6,1","13,6","40,4","60,7","10,0","13,3","53,3","6,7","3,3","66,7","43,3","-0,06059",Medio,43.757
090130267,"7,6","10,0","46,2","30,2","19,7","3,0","100,0","1,5","0,0","66,7","57,6","0,16627",Medio,35.330
090130269,"2,1","11,6","33,1","27,4","10,2","0,0","83,7","4,1","6,1","46,9","18,4","-0,39738",Bajo,60.534
090130270,"0,0","14,3","21,4","50,0","5,9","0,0","41,2","0,0","5,9","35,3","11,8","-0,78531",Bajo,86.288
090130271,"7,9","8,3","61,8","43,1","39,3","0,0","3,6","0,0","0,0","67,9","53,6","0,03569",Medio,39.899
090130273,"2,0","3,8","30,9","48,3","0,7","0,0","77,6","0,0","0,7","24,6","16,4","-0,73114",Bajo,82.527
090130274,"9,1","0,0","54,5","16,7","20,0","60,0","100,0","60,0","60,0","100,0","80,0","1,59127",Alto,8.694
090130275,"3,3","0,0","46,7","42,9","18,2","0,0","100,0","18,2","9,1","27,3","9,1","-0,30553",Bajo,55.386
090130276,"0,0","12,5","28,6","40,5","0,0","9,1","81,8","9,1","0,0","45,5","36,4","-0,38809",Bajo,60.034
090130277,"4,5","0,0","27,3","59,4","8,3","8,3","83,3","8,3","41,7","75,0","75,0","0,31339",Medio,30.749
090130278,"1,3","18,2","20,0","55,8","0,0","0,0","56,0","0,0","4,0","44,0","32,0","-0,60266",Bajo,73.656
090130281,"0,0","0,0","16,7","36,0","0,0","0,0","85,7","0,0","0,0","71,4","14,3","-0,61545",Bajo,74.518
090130282,"0,0","0,0","50,0","83,3","50,0","0,0","100,0","0,0","0,0","75,0","50,0","0,24757",Medio,32.752
090130283,"7,7","0,0","61,5","40,4","14,3","21,4","85,7","57,1","7,1","85,7","50,0","0,64278",Alto,22.380
090130284,"2,0","17,6","20,0","36,0","0,0","0,0","10,5","0,0","0,0","42,1","21,1","-0,85415",Muy bajo,90.883
090130285,"5,4","0,0","35,1","69,6","7,1","0,0","85,7","7,1","0,0","28,6","28,6","-0,48744",Bajo,66.110
090130286,"0,0","0,0","25,0","55,6","0,0","0,0","25,0","0,0","0,0","25,0","25,0","-0,95426",Muy bajo,96.938
090130287,"14,3","11,1","57,1","33,3","0,0","0,0","22,2","22,2","0,0","55,6","55,6","-0,07342",Medio,44.334
090130289,"2,9","16,7","41,2","26,7","50,0","0,0","91,7","33,3","8,3","50,0","41,7","0,31333",Medio,30.753
090130290,"16,3","0,0","41,9","55,0","0,0","0,0","95,0","0,0","0,0","60,0","40,0","-0,13711",Medio,47.160
090130291,"1,8","6,7","36,4","33,8","15,0","5,0","95,0","5,0","0,0","70,0","65,0","0,05451",Medio,39.222
090130292,"5,9","0,0","41,2","47,6","44,4","33,3","100,0","33,3","66,7","66,7","77,8","1,17806",Alto,13.098
090130293,"8,3","0,0","33,3","25,0","40,0","0,0","100,0","0,0","0,0","100,0","100,0","0,56928",Alto,23.992
090130294,"0,0","0,0","38,1","40,7","33,3","0,0","100,0","0,0","0,0","83,3","83,3","0,27622",Medio,31.886
090130295,"15,0","0,0","60,0","48,1","37,5","25,0","12,5","25,0","0,0","75,0","87,5","0,60365",Alto,23.225
090140001,"0,4","5,9","5,4","20,1","0,1","0,1","0,0","0,0","0,0","10,4","1,3","-1,35491",Muy bajo,107.229
090150001,"0,9","6,2","13,4","28,2","0,1","0,2","0,1","0,1","0,0","16,3","4,1","-1,24105",Muy bajo,106.015
090160001,"0,8","5,5","10,9","19,2","0,2","1,6","0,1","0,1","0,0","12,4","3,9","-1,27743",Muy bajo,106.488
090170001,"1,1","5,8","16,7","28,2","0,3","0,3","0,1","0,0","0,0","16,7","5,3","-1,20911",Muy bajo,105.543
