"LLAVE_AGEB","UNIVERSO_ACT_LEGISLATIVAS","UNIVERSO_AGRICULTURA","UNIVERSO_ALOJAMIENTO_ALIMENTOS_Y_BEBIDAS","UNIVERSO_COMERCIO_MAYOREO","UNIVERSO_COMERCIO_AL_POR_MENOR","UNIVERSO_CONSTRUCCION","UNIVERSO_CORPORATIVOS","UNIVERSO_ELECTRICIDAD_AGUA_Y_GAS","UNIVERSO_IND_MANOFACTURA","UNIVERSO_INF_MEDIOS_MASIVOS","UNIVERSO_MINERIA","UNIVERSO_SERVICIOS_EXCEPTO_GUBERNAMENTALES","UNIVERSO_SERVICIOS_CIENTIFICOS","UNIVERSO_SERVICIOS_EDUCACION","UNIVERSO_SERVICIOS_FINANCIEROS_Y_SEGUROS","UNIVERSO_SERVICIOS_INMOBILIARIOS_Y_ALQUILER","UNIVERSO_SERVICIOS_NEGOCIOS","UNIVERSO_SERVICIOS_RECREATIVOS","UNIVERSO_SERVICIOS_SALUD","UNIVERSO_TRANSPORTE_CORREOS_Y_ALMACENAMIENTO"
"1503100011124",0,0,0,0,7,0,0,0,1,0,0,1,0,3,0,1,0,0,0,0
"1503100011143",0,0,1,0,23,0,0,0,9,0,0,3,0,2,0,0,2,1,0,0
"1503100011181",0,0,3,0,24,0,0,0,5,0,0,3,0,0,0,1,0,0,0,0
"1503100011196",0,0,0,0,13,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0
"1503100011213",0,0,2,1,63,0,0,0,7,0,0,5,0,3,0,0,3,0,0,0
"1503100011247",0,0,1,1,26,0,0,0,7,0,0,5,0,2,0,0,0,0,2,0
"1503100011251",1,0,30,10,201,0,0,0,27,0,0,27,1,8,1,3,6,4,1,0
"1503100011266",0,0,1,0,7,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
"1503100011270",0,0,0,0,15,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"1503100011285",0,0,0,0,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"150310001129A",0,0,13,6,134,0,0,0,18,0,0,23,0,9,0,1,5,1,2,1
"1503100011302",0,0,0,4,13,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0
"1503100011317",3,0,8,3,80,0,0,0,14,1,0,24,1,4,0,0,0,2,2,0
"1503100011321",0,0,28,4,169,0,0,0,27,0,0,37,1,4,0,1,4,1,7,0
"1503100011336",0,0,28,6,172,0,0,1,34,0,0,48,1,5,0,5,4,3,7,0
"1503100011340",0,0,29,10,149,0,0,0,19,0,0,32,3,18,1,0,7,2,3,0
"1503100011355",0,0,14,2,54,0,0,0,1,2,0,4,0,1,15,0,1,0,1,0
"150310001136A",14,0,29,9,119,0,0,0,23,0,0,47,7,4,4,2,10,1,4,0
"1503100011374",6,0,32,22,247,1,0,0,35,0,0,38,1,11,4,5,9,4,6,1
