"LLAVE_AGEB","UNIVERSO_ACT_LEGISLATIVAS","UNIVERSO_AGRICULTURA","UNIVERSO_ALOJAMIENTO_ALIMENTOS_Y_BEBIDAS","UNIVERSO_COMERCIO_MAYOREO","UNIVERSO_COMERCIO_AL_POR_MENOR","UNIVERSO_CONSTRUCCION","UNIVERSO_CORPORATIVOS","UNIVERSO_ELECTRICIDAD_AGUA_Y_GAS","UNIVERSO_IND_MANOFACTURA","UNIVERSO_INF_MEDIOS_MASIVOS","UNIVERSO_MINERIA","UNIVERSO_SERVICIOS_EXCEPTO_GUBERNAMENTALES","UNIVERSO_SERVICIOS_CIENTIFICOS","UNIVERSO_SERVICIOS_EDUCACION","UNIVERSO_SERVICIOS_FINANCIEROS_Y_SEGUROS","UNIVERSO_SERVICIOS_INMOBILIARIOS_Y_ALQUILER","UNIVERSO_SERVICIOS_NEGOCIOS","UNIVERSO_SERVICIOS_RECREATIVOS","UNIVERSO_SERVICIOS_SALUD","UNIVERSO_TRANSPORTE_CORREOS_Y_ALMACENAMIENTO"
"010010001006A",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0100100010106",0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3
"0100100010182",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0100100010229",1,0,39,15,92,1,0,3,4,8,0,18,13,3,35,12,4,6,5,8
"0100100010233",9,1,13,24,38,7,0,0,26,2,0,32,12,2,4,5,7,4,14,0
"0100100010286",3,0,52,11,177,5,0,2,29,3,0,47,16,10,23,7,8,5,55,4
"0100100010290",2,0,26,7,63,9,0,0,16,2,2,34,11,6,9,10,10,4,172,2
"0100100010303",0,0,32,15,68,5,0,0,36,0,0,54,13,3,6,2,4,2,7,3
"0100100010322",1,1,13,15,64,0,0,0,17,0,0,40,8,1,6,4,3,2,4,1
"0100100010337",1,0,22,3,42,0,1,0,12,0,0,24,5,2,2,1,1,1,4,1
"0100100010341",1,0,18,5,67,3,1,0,13,0,0,30,4,4,5,2,9,3,17,2
"0100100010356",4,0,8,3,48,1,0,2,14,0,0,20,8,3,1,0,1,0,7,0
"0100100010360",0,0,17,3,39,1,0,0,17,0,0,33,0,2,0,0,2,0,7,0
"0100100010375",0,0,13,11,41,3,0,0,9,1,0,30,1,1,1,7,2,1,2,1
"010010001038A",0,0,20,10,73,2,0,0,42,0,0,50,7,3,3,3,5,0,8,2
"0100100010407",0,0,12,3,17,4,0,0,6,0,0,15,2,0,3,3,1,0,2,0
"0100100010411",0,0,7,4,11,0,0,0,10,1,0,16,0,1,3,1,0,0,3,1
"0100100010426",1,0,23,6,40,0,0,0,13,0,0,34,1,1,0,3,0,0,3,0
"0100100010430",0,0,29,1,107,0,0,0,11,0,0,22,1,3,0,0,4,2,5,0
"0100100010445",0,0,18,1,34,0,0,0,14,0,0,21,0,1,0,1,0,0,1,0
"010010001045A",0,0,36,11,60,1,0,0,19,0,0,27,5,1,0,0,2,2,10,0
"0100100010464",0,0,23,6,69,1,0,0,42,0,0,15,0,2,0,2,1,0,5,0
"0100100010483",1,0,22,2,55,0,0,0,25,0,0,30,0,2,2,1,1,0,5,1
"0100100010498",1,0,22,1,43,0,0,0,18,1,0,23,2,2,1,1,3,2,10,1
"0100100010500",1,0,46,23,126,3,0,0,40,0,0,72,3,2,1,6,8,4,19,0
"0100100010515",2,0,116,21,625,4,0,0,48,3,0,127,22,11,14,7,7,8,36,1
"010010001052A",0,0,30,10,56,5,0,0,30,1,0,47,10,0,0,4,3,5,12,0
"0100100010534",0,0,23,10,40,1,0,0,30,1,0,35,8,4,1,3,3,2,8,0
"0100100010549",0,0,29,6,66,0,0,3,25,1,0,49,25,15,3,3,8,4,16,2
"0100100010553",0,0,19,4,27,0,0,0,14,0,0,29,2,0,1,1,6,1,5,0
"0100100010568",0,0,21,5,38,2,0,0,22,0,0,30,5,1,2,2,2,1,8,0
"0100100010572",0,0,75,17,359,1,0,0,36,0,0,66,15,6,6,2,7,2,56,2
"0100100010587",0,0,24,11,49,1,0,0,54,0,0,21,3,2,0,0,1,0,5,1
"0100100010591",0,0,36,9,79,7,0,0,34,0,0,49,9,8,0,7,6,1,17,1
"0100100010604",0,0,25,9,61,1,0,0,16,0,0,18,7,2,5,5,6,4,8,0
"0100100010619",2,0,56,8,69,3,0,0,24,0,0,43,7,10,1,4,5,4,16,1
"0100100010623",3,0,104,7,191,1,0,0,29,3,0,57,15,17,6,7,7,5,35,0
"0100100010638",18,0,98,22,503,3,0,1,21,15,0,133,51,17,48,24,17,14,63,3
"0100100010642",8,0,44,10,73,0,0,0,22,3,0,51,40,22,6,14,12,5,45,1
"0100100010657",1,0,21,3,37,3,0,0,19,0,0,20,32,11,1,2,9,2,19,2
"0100100010676",0,0,10,0,16,1,0,0,3,1,0,9,1,1,0,1,6,1,4,0
"0100100010680",0,0,12,7,27,1,0,0,10,0,0,18,9,3,9,3,1,1,14,3
"0100100010695",4,0,57,12,211,0,0,0,22,2,0,39,14,5,16,7,8,5,18,0
"0100100010708",32,0,54,10,115,2,0,1,23,5,0,72,27,14,18,3,13,9,30,1
"0100100010712",15,0,54,5,162,2,0,0,31,1,0,51,35,10,11,15,14,7,25,1
"0100100010727",2,0,15,0,27,0,0,0,15,0,0,22,64,2,1,3,3,1,7,3
"0100100010731",2,0,6,0,15,1,0,0,3,0,0,9,4,5,0,1,0,4,5,0
"0100100010746",1,0,4,2,10,1,0,0,6,0,0,5,5,3,1,1,0,3,6,0
"010010001077A",0,0,41,11,63,1,0,0,19,0,0,31,8,0,0,7,5,2,27,1
"0100100010784",2,0,14,4,54,0,0,0,8,0,0,28,7,5,16,3,7,1,13,0
"0100100010799",2,0,27,6,76,2,0,0,30,0,0,59,12,3,3,13,7,2,26,3
"0100100010801",0,0,21,4,30,3,0,0,17,2,0,27,23,2,3,3,7,1,12,0
"0100100010816",13,0,13,8,42,9,1,0,30,4,0,22,70,2,6,7,15,2,4,6
"0100100010820",0,0,26,3,32,4,0,0,9,0,0,42,5,2,2,8,4,2,8,0
"0100100010835",7,0,32,10,43,11,0,0,12,4,0,23,34,14,10,10,16,3,112,4
"010010001084A",0,0,60,17,49,3,0,0,15,5,0,44,28,10,20,12,12,7,44,7
"0100100010854",4,0,27,9,52,2,0,0,14,0,0,40,7,2,2,10,3,2,10,2
"0100100010869",8,0,52,21,92,4,0,4,18,1,0,74,13,14,30,8,9,7,185,10
"0100100010873",0,0,17,3,32,1,0,0,25,0,0,23,7,3,0,5,0,1,9,2
"0100100010888",3,0,48,25,75,8,0,0,33,1,0,59,20,10,10,5,10,7,24,2
"0100100010892",0,1,21,8,71,3,0,0,18,2,0,46,4,6,2,4,2,4,38,0
"0100100010905",0,0,24,6,84,1,0,0,7,0,0,30,1,4,2,2,3,1,8,2
"010010001091A",0,0,31,2,73,2,0,0,9,0,0,26,3,3,4,0,8,4,12,0
"0100100010939",4,0,21,7,53,1,0,0,8,3,0,37,8,2,12,5,8,1,41,21
"0100100010962",0,1,41,9,114,2,0,0,42,0,0,73,4,3,0,3,3,2,13,0
"0100100010977",1,0,27,11,54,8,0,0,31,1,0,55,2,1,2,4,2,1,13,2
"0100100010996",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0100100011000",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0100100011034",0,0,19,0,30,0,0,0,3,0,0,9,0,0,0,0,2,1,0,0
"0100100011091",0,0,2,0,8,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0
"0100100011161",0,0,17,0,26,4,0,0,0,0,0,7,1,0,0,0,0,0,0,0
"0100100011195",0,0,2,1,2,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0
"0100100011208",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0100100011227",0,0,3,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"0100100011265",0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"0100100011299",0,0,7,2,14,1,0,0,0,0,0,9,3,2,2,1,0,1,0,0
"0100100011316",0,0,20,8,47,1,0,0,17,0,0,25,2,4,7,5,1,2,2,4
"0100100011320",0,0,74,15,206,1,0,0,44,4,0,75,2,8,17,3,9,7,10,1
"010010001134A",1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"0100100011354",4,0,40,2,83,3,0,2,5,5,0,30,1,9,23,6,9,7,7,1
"0100100011373",2,0,44,14,124,1,0,0,26,2,0,49,2,0,10,4,7,1,8,6
"0100100011392",0,0,24,1,69,2,0,0,18,1,0,25,1,1,0,0,2,2,1,0
"0100100011405",0,0,47,8,183,0,0,0,31,0,0,46,0,5,2,1,3,3,2,3
"0100100011439",1,0,60,5,146,0,0,0,29,0,0,48,0,8,0,4,3,5,12,0
"0100100011458",5,0,53,11,178,1,0,0,27,4,0,73,4,8,24,8,5,4,10,11
"0100100011462",0,0,15,28,71,2,0,0,17,0,0,24,0,4,0,1,1,1,0,12
"0100100011477",28,0,42,81,126,8,0,0,127,6,2,19,6,3,18,12,16,1,4,41
"0100100011509",0,0,27,13,48,2,0,0,30,0,0,45,4,2,2,5,2,4,6,3
"0100100011528",8,0,10,1,7,0,0,0,0,1,0,2,0,7,2,0,2,5,3,0
"0100100011547",0,0,18,2,40,1,0,0,9,0,0,29,5,2,3,3,6,0,8,0
"0100100011551",3,0,10,0,4,0,0,0,2,0,0,2,0,3,2,0,1,3,3,1
"010010001159A",4,0,35,5,37,6,0,0,2,0,0,35,6,10,15,25,2,10,17,4
"0100100011636",0,0,31,5,48,2,0,0,25,0,0,48,4,6,0,18,5,3,15,0
"0100100011674",0,0,21,12,46,1,0,0,15,1,0,26,1,2,3,4,1,0,3,2
"0100100011689",0,0,20,0,42,0,0,0,4,0,0,15,0,3,0,0,1,2,0,0
"0100100011693",0,0,26,8,63,3,0,0,12,0,0,26,3,6,0,5,6,3,7,0
"0100100011710",0,0,24,5,68,0,0,0,30,0,0,34,1,4,0,3,4,2,3,1
"0100100011744",1,0,32,1,83,0,0,0,6,2,0,25,0,4,0,1,5,1,6,0
"0100100011782",5,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
"0100100011956",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"0100100011960",0,0,21,1,6,0,0,0,4,0,0,7,9,5,11,2,12,2,2,0
"0100100011975",1,0,89,263,614,12,0,0,45,0,0,60,4,3,9,4,4,2,1,10
"010010001198A",5,0,47,55,102,9,0,0,36,3,0,62,14,12,4,4,8,4,14,4
"0100100011994",0,0,3,1,24,2,0,0,6,0,0,10,2,2,2,3,2,4,1,0
"0100100012009",1,0,28,9,81,3,0,0,39,0,0,65,11,11,4,6,1,3,28,1
"0100100012013",1,0,4,0,21,1,0,0,7,0,0,9,1,3,0,0,2,0,1,0
"0100100012028",0,1,23,10,76,3,0,0,17,0,0,39,6,9,2,6,3,3,19,0
"0100100012032",0,0,8,4,33,0,0,0,13,0,0,10,6,3,1,1,0,1,2,0
"0100100012047",0,0,14,8,28,1,0,0,11,0,0,12,0,2,0,2,0,3,1,0
"0100100012051",4,0,27,7,90,8,0,0,38,1,0,45,3,2,4,3,5,0,11,3
"0100100012066",0,0,45,11,144,3,0,0,49,1,0,73,6,4,0,2,4,2,14,3
"0100100012070",1,0,36,20,76,10,0,1,12,4,0,32,16,9,23,23,13,4,14,2
"0100100012085",0,0,25,8,69,2,0,0,14,0,0,50,4,13,5,14,5,4,16,1
"010010001209A",0,0,25,9,21,2,0,0,5,0,0,21,5,6,8,8,4,0,21,2
"0100100012102",6,0,9,3,10,1,0,0,4,1,0,11,8,8,1,6,3,3,35,0
"0100100012117",0,0,19,9,29,1,0,0,5,0,0,21,7,4,1,2,1,1,12,2
"0100100012121",0,0,20,2,25,0,0,0,14,0,0,18,1,2,0,1,0,0,5,0
"0100100012136",1,0,16,0,49,0,0,0,11,0,0,22,2,4,0,1,1,1,1,0
"0100100012140",0,0,19,7,55,6,0,0,21,0,0,36,4,4,0,1,2,2,8,0
"0100100012155",4,0,11,6,62,0,0,0,12,4,0,27,0,1,3,1,0,3,3,0
"010010001216A",5,0,13,0,19,1,0,0,2,0,0,20,0,5,0,0,1,1,5,1
"0100100012174",3,0,13,0,26,1,0,0,9,0,0,11,2,7,0,0,0,0,5,0
"0100100012189",0,0,36,0,93,0,0,0,23,2,0,28,2,5,0,1,2,2,8,0
"0100100012193",0,0,28,1,110,1,0,0,24,0,0,50,2,0,1,1,3,0,10,0
"0100100012206",1,0,30,4,73,0,0,0,15,1,0,34,1,14,0,3,1,2,9,0
"0100100012210",3,0,15,0,33,1,0,0,10,1,0,8,0,8,0,2,3,1,3,0
"0100100012225",0,0,12,5,53,0,0,0,18,0,0,39,0,2,0,2,3,1,4,0
"0100100012259",4,0,67,35,133,25,0,2,21,11,0,77,147,11,53,30,30,8,84,20
"0100100012263",2,0,39,8,38,13,0,0,5,5,0,42,33,11,30,14,8,4,41,2
"0100100012278",1,1,37,29,86,9,0,0,36,0,0,67,13,18,22,10,4,4,23,5
"0100100012282",0,0,39,7,50,2,0,1,13,0,0,37,6,4,3,1,5,1,6,0
"0100100012297",5,0,33,2,53,4,0,0,14,1,0,44,1,5,7,3,6,0,19,1
"010010001230A",2,0,59,1,140,0,0,0,27,0,0,49,5,11,2,1,5,5,12,0
"0100100012314",1,0,34,5,78,1,0,0,14,1,0,43,4,5,11,1,3,3,11,0
"0100100012329",2,0,23,2,48,0,0,0,13,0,0,27,3,2,6,0,3,4,6,2
"0100100012333",4,0,30,3,52,2,0,0,7,0,0,30,2,5,5,0,4,0,5,0
"0100100012348",0,0,13,2,60,1,0,1,16,0,0,15,0,2,0,0,2,2,1,0
"0100100012352",0,0,40,4,78,0,0,0,31,0,0,36,1,4,0,2,2,2,2,0
"0100100012367",0,0,17,3,71,0,0,0,20,0,0,27,1,3,2,1,0,3,5,0
"0100100012371",0,0,12,0,14,3,0,0,0,0,0,7,1,3,8,3,2,3,24,0
"0100100012386",0,0,66,11,79,12,0,0,9,1,0,74,39,22,19,17,12,9,39,6
"0100100012390",0,0,20,12,31,6,0,0,3,0,0,13,27,8,8,8,6,1,60,2
"0100100012403",1,1,43,9,81,10,0,0,7,6,0,52,36,11,16,16,21,4,57,4
"0100100012422",0,0,38,6,70,5,0,0,28,0,0,44,7,8,1,6,8,4,13,0
"0100100012456",0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"0100100012460",2,0,4,6,14,4,0,0,7,0,0,14,0,4,1,0,1,0,3,0
"0100100012475",0,0,16,8,53,3,0,0,7,1,0,41,1,5,8,4,5,2,7,0
"010010001248A",0,0,22,4,70,3,0,0,18,0,0,43,2,2,4,1,3,5,2,1
"0100100012494",0,0,28,0,82,0,0,0,7,0,0,14,1,2,0,1,3,1,1,0
"0100100012507",0,0,22,2,50,2,0,0,9,0,0,36,5,6,1,0,3,3,6,0
"0100100012511",0,0,19,0,31,1,0,0,6,0,0,15,3,4,0,3,1,2,4,1
"0100100012526",0,0,18,1,29,0,0,0,6,0,0,20,3,6,7,3,3,0,6,0
"010010001255A",0,0,18,5,58,1,0,0,12,0,0,27,1,2,0,3,1,1,3,0
"0100100012564",1,0,29,5,76,2,0,0,8,2,0,32,3,3,3,1,5,0,3,0
"0100100012579",0,1,36,0,58,0,0,0,17,0,0,30,0,5,0,1,4,0,9,0
"0100100012583",0,0,23,2,53,0,0,0,11,1,0,21,0,6,0,0,2,0,3,0
"0100100012598",1,0,13,2,33,0,0,0,4,0,0,16,1,0,1,1,2,1,1,0
"0100100012600",0,0,40,0,72,0,0,0,14,0,0,29,2,5,3,1,3,1,5,0
"010010001262A",0,0,27,0,66,0,0,0,12,0,0,25,3,0,0,4,4,2,1,0
"0100100012634",0,0,27,2,62,0,0,0,27,0,0,57,0,5,5,2,1,0,6,0
"0100100012649",2,0,14,3,49,0,0,0,9,0,0,19,2,5,0,1,3,1,3,0
"0100100012668",0,0,27,23,103,1,0,0,19,0,0,44,1,5,0,2,1,3,6,2
"0100100012672",0,0,25,5,72,2,0,0,15,0,0,44,10,3,0,9,5,2,10,0
"0100100012687",0,0,48,8,95,3,0,0,19,0,0,61,6,6,2,10,5,6,19,0
"0100100012691",0,0,52,6,125,0,0,0,29,0,0,50,5,8,0,5,3,5,8,0
"0100100012704",1,0,49,2,94,2,0,0,39,0,0,54,5,5,2,5,3,3,6,0
"0100100012719",17,0,63,2,114,1,0,1,31,2,0,62,4,11,9,3,7,3,27,3
"0100100012723",1,0,54,5,148,0,0,0,19,0,0,54,1,9,4,4,5,3,11,0
"0100100012761",0,0,27,2,52,2,0,0,14,0,0,19,2,7,0,1,3,3,5,0
"0100100012780",0,0,21,1,48,1,0,0,12,0,0,28,2,2,0,1,3,3,5,0
"0100100012795",0,0,37,4,105,0,0,0,30,0,0,32,1,5,2,3,4,3,4,0
"0100100012808",0,0,27,2,91,2,0,0,17,0,0,36,2,7,0,5,1,1,5,0
"0100100012812",1,0,33,1,58,0,0,0,15,0,0,22,0,0,3,1,5,2,0,0
"0100100012831",0,0,18,4,40,0,0,0,18,0,0,21,0,4,0,2,2,0,3,0
"0100100012846",0,0,20,11,49,0,0,0,25,0,0,34,1,1,2,2,0,2,1,4
"0100100012850",0,0,10,1,33,0,0,0,3,0,0,12,0,3,0,0,2,1,0,0
"0100100012865",0,0,10,0,33,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0
"010010001287A",0,0,29,16,72,3,0,0,28,0,0,60,8,6,0,3,6,5,14,3
"0100100012884",0,0,21,2,43,2,0,0,10,1,0,37,5,9,2,4,4,2,16,0
"0100100012920",0,0,6,1,15,0,0,0,0,0,0,8,2,0,0,3,1,0,1,0
"0100100012935",0,0,1,1,4,1,0,0,1,0,0,4,0,0,0,1,0,0,1,0
"010010001294A",0,0,4,3,26,0,0,0,2,0,0,8,0,1,0,1,2,0,0,0
"0100100012954",1,0,31,6,70,0,0,0,16,0,0,24,2,2,1,2,1,4,4,0
"0100100012969",0,0,30,1,49,0,0,0,8,0,0,17,0,4,0,0,1,1,4,0
"0100100012973",0,0,22,1,60,1,0,0,16,0,0,25,1,5,0,2,1,1,2,0
"0100100012988",0,0,17,2,17,1,0,0,3,0,0,7,2,0,0,2,0,0,1,0
"0100100012992",0,0,5,2,7,0,0,0,4,0,0,4,0,2,0,2,1,0,1,6
"0100100013011",0,0,18,1,55,0,0,0,12,0,0,11,2,3,2,0,3,0,1,0
"0100100013045",0,0,62,2,145,0,0,1,23,3,0,39,1,1,1,4,5,1,8,0
"010010001305A",0,0,37,5,69,0,0,0,19,0,0,26,0,5,2,3,1,2,6,0
"0100100013064",1,0,10,1,25,0,0,0,8,1,0,14,0,0,1,3,0,1,0,0
"0100100013079",0,0,18,3,38,0,0,0,2,0,0,19,1,1,0,0,1,0,6,0
"0100100013083",1,0,15,3,31,2,0,0,10,0,0,20,5,3,1,1,0,2,4,0
"0100100013098",0,0,9,4,21,2,0,0,4,4,0,13,3,4,6,0,2,0,6,1
"0100100013115",1,0,13,1,34,0,0,1,11,1,0,16,1,4,0,2,0,3,2,0
"0100100013149",0,0,11,4,31,0,0,0,15,0,0,23,1,0,0,0,1,0,3,2
"0100100013153",0,0,7,2,35,0,0,0,9,0,0,28,1,1,1,0,1,1,3,0
"0100100013168",0,0,34,7,95,2,0,0,29,0,0,48,3,4,0,3,2,2,9,1
"0100100013172",0,0,8,2,17,0,0,1,6,1,0,16,0,0,0,1,1,1,3,1
"0100100013187",1,0,33,1,98,0,0,0,32,0,0,41,3,3,1,5,3,1,17,1
"0100100013191",0,0,14,0,37,0,0,1,4,0,0,7,0,3,0,1,1,0,2,0
"0100100013204",0,0,20,0,29,0,0,0,1,0,0,12,0,5,0,0,0,1,2,0
"0100100013219",1,0,7,1,23,1,0,1,2,0,0,8,3,2,2,1,0,2,0,0
"0100100013223",0,0,17,0,32,0,0,0,8,0,0,15,0,5,3,1,1,1,6,0
"0100100013238",0,0,22,7,34,0,0,0,26,0,0,23,0,0,0,1,0,2,3,0
"0100100013242",0,0,2,1,18,0,0,0,15,0,0,8,0,1,0,1,1,0,3,0
"0100100013257",0,0,10,4,50,1,0,0,16,0,0,24,0,2,0,2,1,0,7,0
"0100100013261",0,0,61,3,145,1,0,1,17,2,0,58,3,13,12,9,12,7,14,1
"0100100013276",0,0,17,1,68,0,0,0,12,0,0,21,4,5,2,0,2,0,3,0
"0100100013280",0,0,7,7,35,2,0,0,10,1,0,22,1,5,1,1,0,1,2,2
"0100100013295",1,0,17,4,54,6,0,1,11,0,0,19,10,6,6,4,5,5,5,0
"0100100013308",0,0,36,4,126,0,0,0,28,0,0,37,1,3,0,2,2,0,0,0
"0100100013312",0,0,38,11,94,0,0,0,22,0,0,39,0,6,1,0,5,3,3,0
"0100100013327",1,0,41,4,79,2,0,0,27,0,0,40,3,7,2,7,4,0,0,0
"0100100013331",0,0,21,4,51,2,0,0,16,0,0,19,0,4,2,2,0,1,0,0
"0100100013346",0,0,19,0,35,1,0,0,5,0,0,20,1,4,0,1,2,1,2,0
"0100100013350",0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"0100100013365",1,0,3,2,6,1,0,0,2,0,0,2,0,6,0,1,0,0,1,0
"010010001337A",0,0,20,1,81,1,0,0,16,0,0,45,1,5,4,1,3,1,6,0
"0100100013399",0,0,13,1,40,0,0,0,12,0,0,11,0,3,0,1,2,0,0,0
"0100100013401",0,0,10,1,15,0,0,0,3,0,0,4,0,0,0,2,0,0,0,0
"0100100013454",0,0,0,1,11,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0
"0100100013488",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"0100100013492",0,0,23,0,56,0,0,0,9,0,0,16,0,5,0,0,4,1,2,0
"0100100013505",0,0,33,0,56,0,0,0,13,0,0,26,0,3,0,2,4,0,3,0
"010010001351A",0,0,7,0,11,0,0,0,1,0,0,6,0,0,0,0,0,2,3,0
"0100100013524",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0100100013539",0,0,9,0,20,0,0,0,4,0,0,6,0,4,0,1,1,1,1,0
"0100100013577",0,0,4,0,15,0,0,0,2,0,0,5,0,2,0,1,0,0,0,0
"0100100013581",0,0,7,0,19,3,0,0,0,0,0,7,0,0,0,1,1,0,0,0
"0100100013596",0,0,1,0,10,0,0,1,1,0,0,4,2,1,0,1,1,0,2,0
"0100100013609",0,0,4,1,22,0,0,0,6,0,0,2,0,1,0,0,1,0,0,0
"0100100013613",0,0,19,4,44,0,0,0,24,0,0,18,0,2,0,0,1,0,2,0
"0100100013670",0,0,1,0,2,0,0,0,0,0,0,1,2,1,0,0,0,0,2,0
"0100100013685",0,0,5,3,16,1,0,0,2,0,0,7,0,0,0,0,0,0,1,0
"010010001369A",0,0,9,1,27,0,0,0,6,0,0,4,1,0,0,1,0,0,1,1
"0100100013702",0,0,22,3,48,1,0,0,7,0,0,13,0,4,1,1,1,2,1,0
"0100100013717",0,0,8,1,38,2,0,0,7,0,0,12,1,1,1,1,0,0,0,0
"0100100013721",0,0,15,0,41,1,0,0,7,0,0,7,0,4,0,1,3,0,1,0
"0100100013736",0,0,14,1,26,1,0,0,9,0,0,13,1,4,0,0,1,0,3,0
"0100100013740",0,0,9,3,16,1,0,0,4,0,0,12,0,1,0,0,1,0,2,0
"0100100013755",0,0,7,0,21,0,0,0,7,0,0,10,0,2,0,1,2,0,2,0
"010010001376A",0,0,8,0,32,0,0,0,2,0,0,10,3,4,0,0,1,1,1,0
"0100100013774",0,0,4,1,13,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0
"0100100013789",0,0,5,1,23,0,0,0,4,0,0,3,0,6,0,0,0,0,0,0
"0100100013793",0,0,6,0,18,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"0100100013806",2,0,4,0,16,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0
"0100100013810",0,0,2,1,9,0,0,0,1,0,0,4,0,0,0,1,0,0,1,0
"0100100013825",0,0,31,0,69,0,0,0,16,0,0,36,0,6,0,5,4,0,7,0
"010010001383A",0,0,6,1,12,0,0,0,2,0,0,9,0,0,0,1,0,0,0,0
"0100100013844",0,0,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
"0100100013859",0,0,2,1,9,1,0,0,1,0,0,6,3,1,0,0,0,1,2,0
"0100100013863",1,0,23,3,59,1,0,0,12,0,0,19,1,4,3,3,3,2,4,0
"0100100013878",0,0,11,0,19,0,0,0,0,0,0,10,2,0,3,1,1,3,1,0
"0100100013882",1,0,63,2,133,0,0,0,34,1,0,39,2,9,0,0,6,1,6,1
"0100100013897",0,0,30,0,52,1,0,0,4,0,0,10,0,2,0,0,4,0,0,1
"010010001390A",1,0,18,0,10,4,0,0,2,0,0,14,6,7,3,3,1,3,7,2
"0100100013914",0,0,0,0,4,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0
"0100100013971",0,0,11,1,32,0,0,0,10,0,0,9,2,0,0,1,2,2,1,0
"0100100013986",0,0,0,1,7,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
"0100100013990",0,0,9,0,25,0,0,0,4,0,0,4,0,0,0,1,0,0,1,0
"0100100014005",0,0,4,0,8,1,0,0,0,0,0,4,0,2,0,0,0,2,0,0
"010010001401A",0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0
"0100100014024",0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"0100100014039",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"0100100014043",0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"0100100014058",0,0,3,0,8,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0
"0100100014062",0,0,16,1,29,1,0,1,9,0,0,11,0,1,0,0,0,0,1,0
"0100100014077",0,0,1,0,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"0100100014081",0,0,2,1,5,0,0,1,0,0,0,5,0,1,4,0,0,0,0,0
"0100100014096",0,0,0,0,4,0,0,0,0,0,0,1,0,2,0,2,0,0,3,0
"0100100014109",0,0,3,1,20,0,0,1,1,0,0,7,0,0,0,0,2,0,0,0
"0100100014113",0,0,1,0,13,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0
"0100100014128",0,0,1,3,1,0,0,0,3,0,0,6,0,2,0,2,0,0,0,0
"0100100014132",0,0,7,0,18,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"0100100014147",0,0,7,1,13,1,0,0,3,0,0,13,1,0,3,4,1,1,1,1
"0100100014151",0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0
"0100100014202",0,0,1,0,7,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0
"0100100014217",0,0,8,0,18,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0
"0100100014255",0,0,1,1,17,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"010010001426A",0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
"0100100014325",0,0,7,7,30,0,0,0,7,0,0,13,1,0,0,1,0,1,2,0
"0100100014344",0,0,0,1,3,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0
"0100100014359",0,0,45,6,66,1,0,0,24,1,0,31,5,10,3,10,1,5,45,1
"0100100014363",0,0,3,0,17,2,0,0,4,0,0,1,0,1,0,1,0,0,0,0
"0100100014378",0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
